id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
178864;AdailCarneiro;Adail Carneiro;phs;CE;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;1;0;1;0;1
178914;AdalbertoCavalcanti;Adalberto Cavalcanti;ptb;PE;1;1;1;1;1;1;1;1;3;1;3;1;1;3;3;1;1;1;1;0
178890;AdelmoCarneiroLeao;Adelmo Carneiro Leão;pt;MG;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;3;3;0
178968;AdelsonBarreto;Adelson Barreto;ptb;SE;1;3;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1
178903;AdiltonSachetti;Adilton Sachetti;psb;MT;1;0;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1
141372;AeltonFreitas;Aelton Freitas;pr;MG;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0
160508;AfonsoFlorence;Afonso Florence;pt;BA;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0
136811;AfonsoHamm;Afonso Hamm;pp;RS;1;1;0;1;1;1;0;0;1;0;1;1;0;0;0;1;0;1;1;1
178835;AfonsoMotta;Afonso Motta;pdt;RS;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;0
160527;AguinaldoRibeiro;Aguinaldo Ribeiro;pp;PB;1;1;1;0;3;3;1;1;1;1;1;1;0;1;1;1;0;1;1;1
178836;AlanRick;Alan Rick;prb;AC;0;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1
160582;AlbertoFilho;Alberto Filho;pmdb;MA;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;0;1;1;1
73579;AlbertoFraga;Alberto Fraga;dem;DF;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1
160559;AlceuMoreira;Alceu Moreira;pmdb;RS;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1
160511;AlessandroMolon;Alessandro Molon;pt;RJ;3;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0
160511;AlessandroMolon;Alessandro Molon;rede;RJ;0;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;0
178875;AlexandreBaldy;Alexandre Baldy;psdb;GO;1;3;1;3;1;1;3;3;1;3;1;3;NA;0;0;1;1;1;0;1
160545;AlexandreLeite;Alexandre Leite;dem;SP;1;3;0;1;1;1;1;1;1;1;1;1;NA;0;0;1;1;1;1;1
178833;AlexandreSerfiotis;Alexandre Serfiotis;psd;RJ;0;1;0;1;1;1;1;1;1;0;0;1;3;1;0;0;0;1;0;1
178936;AlexandreValle;Alexandre Valle;prp;RJ;1;1;1;1;3;3;1;1;1;0;1;1;1;1;0;1;1;1;0;1
73458;AlexCanziani;Alex Canziani;ptb;PR;1;3;1;3;0;0;1;1;1;0;1;0;1;1;1;0;3;1;0;1
178972;AlexManente;Alex Manente;pps;SP;1;1;1;1;1;1;0;0;1;0;1;1;1;0;0;0;1;1;0;1
141454;AlfredoKaefer;Alfredo Kaefer;psdb;PR;1;3;1;1;1;1;1;1;1;0;1;1;0;0;0;1;0;1;0;1
178846;AlfredoNascimento;Alfredo Nascimento;pr;AM;1;1;1;1;3;3;1;1;1;0;1;1;3;1;1;3;3;3;3;1
74057;AlicePortugal;Alice Portugal;pcdob;BA;0;0;1;3;0;3;0;0;0;1;0;1;1;3;1;0;0;1;0;0
178927;AlielMachado;Aliel Machado;rede;PR;0;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;0
178927;AlielMachado;Aliel Machado;pcdob;PR;3;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;3;1;0;0
178937;AltineuCortes;Altineu Côrtes;pr;RJ;1;1;3;1;1;1;3;1;1;0;1;1;3;1;3;1;0;1;1;1
178881;AluisioMendes;Aluisio Mendes;psdc;MA;1;1;1;0;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;0
178973;AnaPerugini;Ana Perugini;pt;SP;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0
160551;AndersonFerreira;Anderson Ferreira;pr;PE;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;3;1;0;1
178831;AndreAbdon;André Abdon;prb;AP;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;1;0;1
178882;AndreFufuca;André Fufuca;pen;MA;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
160543;AndreMoura;Andre Moura;psc;SE;3;3;0;1;1;1;1;1;1;1;3;1;1;3;0;1;3;1;1;1
178974;AndresSanchez;Andres Sanchez;pt;SP;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0
178837;Angelim;Angelim;pt;AC;0;NA;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0
